sensor_id,macroarea_id,edge_cluster,edge_id,lat,lon,x_km,y_km,rows,rows_per_day,distance_to_edge_km
47270,none,2,edge-2,50.79846452,7.30260104,4130.873260086673,3079.8268752795652,8007,258.2903225806452,139.53448447050627
47278,none,10,edge-10,47.15473172,27.59908748,5642.347466933939,2829.3359666029846,16368,528.0,285.11624060259663
47280,none,0,edge-0,44.942,0.008,3533.660732068846,2478.386503601123,16596,535.3548387096774,343.5000214065074
47318,none,11,edge-11,55.81068711,37.73338348,6010.740841012123,3966.2171232607475,14077,454.0967741935484,60.27408339895038
47366,none,3,edge-3,47.964,7.982,4170.240807066695,2763.2149268874487,12326,397.61290322580646,164.0370428048334
47416,none,2,edge-2,51.8133517,5.7185075,4025.9308207971417,3197.896354434118,18285,589.8387096774194,20.48230847011097
47430,none,3,edge-3,49.246,7.372,4129.654823806911,2907.080949182562,16515,532.741935483871,180.25895012330463
47436,none,8,edge-8,47.52167000000001,19.10159,5004.950004068263,2754.1372917736753,16015,516.6129032258065,41.6857748646103
4745,none,9,edge-9,42.138,24.746,5535.541390799407,2234.2075444917646,15845,511.1290322580645,81.62258711988349
47458,none,2,edge-2,50.6971413,8.5981231,4221.955256246768,3066.000053023631,10073,324.93548387096774,220.63515217986236
47522,none,2,edge-2,52.01,4.446,3940.073772697405,3225.6362247228753,15863,511.7096774193548,103.43558430523028
47524,none,9,edge-9,42.144,25.884,5627.616112941552,2253.951307047976,16587,535.0645161290323,162.5057366555197
47542,none,8,edge-8,47.6908183,19.25068349,5013.809922685661,2774.2048447699704,14703,474.2903225806452,62.76486213874315
47554,none,2,edge-2,51.35419237,5.43017238,4002.8957589499596,3148.100838153922,16624,536.258064516129,42.0307168986082
47556,none,10,edge-10,46.222,26.46,5580.548259088937,2708.003191763219,15894,512.7096774193549,416.0157415271028
47572,none,6,edge-6,57.730007969999996,13.00518394,4500.222554084916,3851.3359806189787,2275,73.38709677419355,359.2523483582761
47586,none,10,edge-10,50.41590839,30.4640767,5753.803129500067,3235.9449480139797,16505,532.4193548387096,144.28695040023587
4767,none,5,edge-5,53.57600000000001,9.746,4304.172903448385,3385.4021591562473,15953,514.6129032258065,217.5650661316559
47670,none,5,edge-5,52.062,11.722,4439.087544653645,3218.293797279694,16283,525.258064516129,27.401020159114253
47690,none,9,edge-9,44.43358372000001,26.20249558,5602.167675102114,2508.8180328713433,16238,523.8064516129032,267.07668506342605
47712,none,2,edge-2,51.634,5.886,4036.3350115395165,3177.3035620563314,2689,86.74193548387096,4.39189244770218
47716,none,2,edge-2,50.984,3.538,3867.8983587208836,3116.997097444296,15547,501.51612903225805,175.26441939640702
47726,none,8,edge-8,48.294,16.388,4794.5278050130055,2818.337993485147,13370,431.2903225806452,232.92168078625508
47734,none,4,edge-4,40.96722904,14.538176359999998,4704.446147933394,1996.844054884044,38868,1253.8064516129032,567.5330734727517
47750,none,3,edge-3,48.16,10.812,4381.436311951541,2783.2712939571156,36201,1167.774193548387,108.76486854448707
47761,none,11,edge-11,55.434,38.52,6072.400481848569,3946.144927182434,3751,121.0,118.22307995289995
47763,none,9,edge-9,42.69,23.322,5409.668415487459,2272.7165334463302,2030,65.48387096774194,57.5946594784734
47785,none,11,edge-11,55.686,37.848,6022.715813919041,3955.9931872357133,16552,533.9354838709677,75.54730822486276
47811,none,2,edge-2,52.6,7.318,4139.321367700211,3280.1128361822252,15739,507.7096774193548,147.84131348350965
47815,none,7,edge-7,50.058,18.13,4901.875671729062,3026.1920425803714,37781,1218.741935483871,180.58753877931034
47883,none,2,edge-2,50.35,7.578,4148.640442011968,3029.2859320904677,16513,532.6774193548387,189.23615624446032
47897,none,2,edge-2,51.4,5.494000000000001,4007.645631989859,3152.912961414274,7824,252.38709677419354,35.26976882078006
47913,none,7,edge-7,51.006,17.18,4824.030094359529,3124.1315358311126,16189,522.2258064516129,148.7719985886543
47939,none,9,edge-9,43.21695443,27.93087512,5766.240552515243,2408.151357808775,13343,430.4193548387097,326.14992183706846
47967,none,5,edge-5,52.456,13.62,4566.967072505464,3266.858517429866,16204,522.7096774193549,110.6924254256327
48015,none,2,edge-2,51.034,7.12,4119.035236131488,3106.5022276760806,16585,535.0,112.80841235771005
48025,none,7,edge-7,52.66715302000001,17.164909240000004,4804.829979482909,3308.0991386349947,7935,255.96774193548387,183.01570921796747
48027,none,2,edge-2,49.15,5.382,3984.276553433976,2903.557290125586,3839,123.83870967741936,278.9241839838277
48035,none,4,edge-4,46.48,6.834,4077.7079170065235,2601.4870997376206,8218,265.0967741935484,308.5245655447614
48041,none,3,edge-3,48.386,11.738,4449.769949904365,2809.573998420622,16643,536.8709677419355,154.50721574886796
48089,none,2,edge-2,50.314,7.802,4164.4565693375125,3024.7808994807483,11660,376.1290322580645,202.75909560789518
48095,none,1,edge-1,52.07,-0.516,3602.8010525670925,3269.751499768037,16216,523.0967741935484,96.44247729091536
48111,none,8,edge-8,46.76985674,23.63339424,5356.622387029611,2724.048436595472,16191,522.2903225806451,354.76686459335184
48156,none,3,edge-3,48.104,11.782,4453.767037568121,2778.316667160829,16393,528.8064516129032,170.6664802143301
48200,none,4,edge-4,44.602,10.976,4398.633699945287,2388.3918300749556,16208,522.8387096774194,77.5606583063315
48204,none,2,edge-2,50.998,5.864,4030.822825377352,3106.7274998708945,14706,474.38709677419354,71.63946782125718
48216,none,3,edge-3,48.844,10.097999999999999,4328.195499384285,2858.974249969769,7446,240.19354838709677,24.8056749082537
48230,none,9,edge-9,43.2781942,27.7981621,5754.272515448233,2412.2380285498966,15853,511.38709677419354,316.9072650349357
48267,none,2,edge-2,52.232,5.196,3993.052194494188,3246.635738516392,16032,517.1612903225806,78.64213595191121
48294,none,10,edge-10,47.16035212999999,27.623014929999997,5643.961938882092,2830.3752094843294,16213,523.0,283.87658677905983
4830,none,5,edge-5,52.58599999999999,14.322,4613.7426377848615,3283.90528106117,7848,253.16129032258064,160.42663091888377
48310,none,11,edge-11,54.78861535,37.28784084,6028.461794660406,3849.2168946549905,4010,129.3548387096774,174.79463777987453
48334,none,3,edge-3,49.84236355,9.60716143,4292.73946093635,2970.0548331076147,16539,533.516129032258,111.5399616886406
4834,none,2,edge-2,51.064,7.027999999999999,4112.722561614838,3110.0954844162225,9817,316.6774193548387,105.66062643672305
4836,none,2,edge-2,51.226,6.902,4104.658814039164,3128.4708942267966,16150,520.9677419354839,88.07671911421801
48364,none,7,edge-7,54.364,18.582,4877.47243357106,3506.1486418792706,3835,123.70967741935483,315.5152645307076
48380,none,2,edge-2,52.688879199999995,5.2304781,3998.7480910892837,3297.226752519729,8022,258.7741935483871,123.45305697537258
48386,none,3,edge-3,47.964000000000006,7.982000000000001,4170.240807066695,2763.2149268874487,5776,186.32258064516128,164.0370428048334
48390,none,3,edge-3,47.964,7.981999999999999,4170.240807066695,2763.2149268874487,39701,1280.6774193548388,164.0370428048334
48404,none,2,edge-2,52.53600000000001,6.042,4052.578505496703,3276.945057441964,8008,258.3225806451613,100.69924367557968
48424,none,9,edge-9,42.502,26.014,5630.307175794511,2295.197458619275,16632,536.516129032258,164.18649089188733
48426,none,6,edge-6,57.68154796000001,11.93268013,4436.43562776738,3843.7385685991308,16407,529.258064516129,410.9659141879557
48448,none,1,edge-1,53.34067,-6.537797,3230.409105946544,3484.335935806772,16598,535.4193548387096,346.6074896063119
48490,none,1,edge-1,55.996385,-4.89542,3398.6614758363376,3750.7807796959337,14692,473.93548387096774,488.06740527852014
